개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,관리주체,데이터갱신시점,도로명주소,병상수,상세영업상태명,상세영업상태코드,영업상태코드,의료기관종별명,의료인수,입원실수,전화번호,좌표정보(X),좌표정보(Y),지번주소,진료과목내용,진료과목내용명,총면적,최종수정시점
4490000,PHMA220164490261021200002,2016-11-03,,폐업,2026-04-06,,,2719.57,,31173,본정형외과병원,병원,U,시군구,2026-04-11 03:03:03,충청남도 천안시 서북구 불당대로 268 (쌍용동),60,폐업,03,03,병원,21,16,0415756000,211163.484694287    ,366480.644989024    ,충청남도 천안시 서북구 쌍용동 220-42 천안본정형외과,120 116 111 109 106 105,"정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과",2719.57,2026-04-10 15:55:16
4490000,PHMA220174490260021200001,2017-04-21,,영업/정상,,,,3605,,31191,로고스요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:48,"충청남도 천안시 동남구 청수로 123-11, 로고스요양병원 (구성동)",172,영업중,13,01,요양병원(일반요양병원),26,35,0414102100,214004.808198973    ,365919.181120029    ,충청남도 천안시 동남구 구성동 313-1 로고스요양병원,308 307 306 305 304 303 302 301 122 120 119 116 115 114 113 110 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",3605,2025-08-08 10:39:23
4490000,PHMA220174490260021200002,2017-08-25,,영업/정상,,,,4611,,31068,메디움천안요양병원,요양병원(일반요양병원),U,시군구,2026-04-02 03:03:03,"충청남도 천안시 동남구 유량로 180 (유량동, 메디움천안요양병원)",94,영업중,13,01,요양병원(일반요양병원),15,52,0414137100,215832.683557852    ,367761.554283653    ,충청남도 천안시 동남구 유량동 327번지 외 1필지,301 104,"외과, 한방내과",4611,2026-04-01 17:30:16
4490000,PHMA220174490261021200001,2017-01-03,,영업/정상,,,,10604.01,,31029,다나힐요양병원,요양병원(일반요양병원),U,시군구,2026-05-19 03:03:03,충청남도 천안시 서북구 직산읍 석양길 4,356,영업중,13,01,요양병원(일반요양병원),46,105,0415907777,209521.771432084    ,376009.975618255    ,충청남도 천안시 서북구 직산읍 양당리 216번지 10호,308 301 122 120 114 113 111 106 104 102 101,"내과, 신경과, 외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 침구과",10604.01,2026-05-18 13:27:39
4490000,PHMA220174490261021200002,2017-01-04,,영업/정상,,,,1853,,31100,천안21세기병원,병원,I,시군구,2026-03-07 22:30:02,충청남도 천안시 서북구 부성6길 39-11 (두정동),40,영업중,13,01,병원,18,10,15227634,212230.099119945    ,370584.458871615    ,충청남도 천안시 서북구 두정동 1036번지,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",1853,2026-03-06 13:38:26
4490000,PHMA220174490261021200003,2017-02-14,,영업/정상,,,,2637.73,,31156,앙즈로여성병원,병원,I,시군구,2026-03-16 22:30:02,"충청남도 천안시 서북구 불당33길 1, 외1(불당25로104) (불당동)",46,영업중,13,01,병원,24,25,0415765700,209473.328854003    ,367678.58844942     ,,104 110 111,"외과, 산부인과, 소아청소년과",2637.73,2026-03-15 11:35:36
4490000,PHMA220174490261021200006,2017-04-19,,폐업,2024-04-18,,,3004.63,,31254,천안희망병원,정신병원,I,시군구,2026-02-19 17:28:48,충청남도 천안시 동남구 병천면 충절로 1782,238,폐업,03,03,정신병원,17,43,0415672580,226969.229949856    ,362368.387249723    ,충청남도 천안시 동남구 병천면 병천리 176-7,103 102 101,"내과, 신경과, 정신건강의학과",3004.63,2025-06-02 17:23:18
4490000,PHMA220184490260021200001,2018-07-26,,폐업,2020-12-14,,,1343.51,,31254,아우내요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:48,충청남도 천안시 동남구 병천면 충절로 1782,60,폐업,03,03,요양병원(일반요양병원),1,10,0415518833,226969.229949856    ,362368.387249723    ,충청남도 천안시 동남구 병천면 병천리 176번지 7호,122 120 115 114 113 110 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",1343.51,2021-01-20 16:38:54
4490000,PHMA220184490261021200001,2018-07-09,,영업/정상,,,,3857.45,,31174,천안쌍용요양병원,요양병원(일반요양병원),I,시군구,2026-05-13 22:30:01,"충청남도 천안시 서북구 충무로 167-12, 쌍용가구백화점 2층 (쌍용동)",187,영업중,13,01,요양병원(일반요양병원),18,38,,211102.522491944    ,365944.913905637    ,충청남도 천안시 서북구 쌍용동 494번지 3호 쌍용가구백화점,308 301 122 120 106 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과",3857.45,2026-05-12 11:36:00
4490000,PHMA220204490261021200001,2020-12-03,,영업/정상,,,,3809.96,,31156,천안리턴병원,병원,U,시군구,2026-05-19 03:03:03,"충청남도 천안시 서북구 불당23로 73-27, 2층,3층 2층(217~222)호 (불당동)",110,영업중,13,01,병원,48,31,0414147500,209712.890694003    ,368783.731868105    ,"충청남도 천안시 서북구 불당동 1491 2층, 3층",308 307 306 305 304 303 302 301 122 120 114 113 111 109 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",3809.96,2026-05-18 13:26:57
