개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,약국영업면적,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,지정일자,최종수정시점
4490000,PHMD120184490261084000010,2018-06-11,,영업/정상,,,,,31038,으뜸약국,I,2026-05-02 22:31:28,"충청남도 천안시 서북구 직산읍 자은가리1길 68, 상가동 104호 (우성아파트)",영업중,13,40,01,0415887574,211265.609342902    ,374262.516561785    ,충청남도 천안시 서북구 직산읍 모시리 206번지 13호 우성아파트,2018-06-11,2018-11-15 15:28:06
4490000,PHMD120184490261084000013,2018-07-26,,영업/정상,,,,,31156,위드유약국,I,2026-05-02 22:31:28,"충청남도 천안시 서북구 불당34길 18, 1층 108호 (불당동)",영업중,13,40,01,0415556386,209425.191652534    ,367232.636839293    ,충청남도 천안시 서북구 불당동 1840번지,2018-07-26,2018-07-26 11:19:52
4490000,PHMD119774490042084000003,1977-09-23,,취소/말소/만료/정지/중지,2024-12-17,,,331-805,31014,성신약국,I,2026-05-02 22:31:22,충청남도 천안시 서북구 성환읍 성환중앙로 43-1,직권폐업,24,0,04,,211522.212849746    ,379592.22768049     ,충청남도 천안시 서북구 성환읍 성환리 449번지 8호,1977-09-23,2024-12-30 10:45:33
4490000,PHMD120264490261084000006,2026-05-14,,영업/정상,,,,,31104,천안제일큰약국,I,2026-05-15 22:30:52,"충청남도 천안시 서북구 봉정로 338, 1층 109~114호 (두정동)",영업중,13,397,01,0415621002,212932.482236679    ,370089.604119884    ,충청남도 천안시 서북구 두정동 71-10,2026-05-14,2026-05-14 13:20:11
4490000,PHMD120264490261084000004,2026-03-03,,영업/정상,,,,,31078,성성노블약국,I,2026-05-02 22:31:29,"충청남도 천안시 서북구 성성8로 2-44, 바루나타워 102호 (성성동)",영업중,13,48,01,0419067606,211412.589500138    ,370953.275330079    ,충청남도 천안시 서북구 성성동 673,2026-03-03,2026-03-03 09:41:26
4490000,PHMD120104490042084000036,2010-11-17,,폐업,2016-11-07,,,331-956,31166,용암약국,I,2026-05-02 22:31:24,"충청남도 천안시 서북구 월봉로 134, 104호 (쌍용동, 광산빌딩)",폐업,03,48,03,07042407098,210561.568866934    ,366806.576014961    ,충청남도 천안시 서북구 쌍용3동 1952번지 광산빌딩 104호,2010-11-17,2016-11-07 09:59:36
4490000,PHMD120124490261084000024,2012-12-18,,폐업,2016-09-02,,,331-980,31158,비타민약국,I,2026-05-02 22:31:25,"충청남도 천안시 서북구 백석3로 135, 101호 (백석동)",폐업,03,33,03,0415643353,211042.282725085    ,369001.929911676    ,충청남도 천안시 서북구 백석동 876번지,2012-12-18,2016-09-02 18:06:37
4490000,PHMD120134490261084000009,2013-06-28,,폐업,2013-08-29,,,331-300,,미소약국,I,2026-05-02 22:31:25,충청남도 천안시 서북구  번영로  467 (성성동),폐업,03,25,03,,210317.989512109    ,371442.350718251    ,충청남도 천안시 서북구 성성동 508번지,2013-06-28,2013-08-29 11:48:05
4490000,PHMD120154490260084000013,2015-08-05,,폐업,2018-08-05,,,,31176,새봄약국,I,2026-05-02 22:31:25,충청남도 천안시 동남구 수곡2길 17-17 (신방동),폐업,03,53,03,,211248.500179025    ,365505.583954411    ,충청남도 천안시 동남구 신방동 67번지 101호,2015-08-05,2018-08-06 10:36:02
4490000,PHMD120174490261084000026,2017-11-20,,폐업,2020-03-17,,,,31149,청솔약국,I,2026-05-02 22:31:28,충청남도 천안시 서북구 쌍용대로 133-1 (쌍용동),폐업,03,28,03,0415715823,211779.138837975    ,367587.142243972    ,충청남도 천안시 서북구 쌍용동 805번지 청솔약국,2017-11-20,2020-03-17 16:50:55
4490000,PHMD120264490261084000005,2026-04-09,,영업/정상,,,,,31053,자연주의중앙약국,I,2026-05-02 22:31:29,"충청남도 천안시 서북구 성거읍 망향로 340, 1층",영업중,13,42,01,0415617558,216295.035820538    ,372168.63837347     ,충청남도 천안시 서북구 성거읍 요방리 175-9,2026-04-09,2026-04-09 10:11:51
4490000,PHMD120174490261084000018,2017-08-24,,영업/정상,,,,,31090,맘편한약국,I,2026-05-02 22:31:28,충청남도 천안시 서북구 오성로 1 (두정동),영업중,13,47,01,0413353497,211313.374681945    ,369930.025442976    ,충청남도 천안시 서북구 두정동 574번지,2017-08-24,2022-03-20 17:29:18
4490000,PHMD120054490042084000008,2005-09-27,,영업/정상,,,,331-807,31009,참사랑약국,I,2026-05-02 22:31:23,충청남도 천안시 서북구 성환읍 율금1길 291,영업중,13,45,01,0415819977,209813.817796787    ,378081.319839055    ,충청남도 천안시 서북구 성환읍 율금리 478번지,2005-09-27,2023-11-01 11:35:27
4490000,PHMD120064490042084000001,2006-01-20,,영업/정상,,,,,31129,밝은미래약국,I,2026-05-02 22:31:23,"충청남도 천안시 동남구 사직로 4 (사직동, 밝은미래약국)",영업중,13,81,01,,213293.688255329    ,366577.684700322    ,충청남도 천안시 동남구 사직동 188번지 2호,2006-01-20,2015-12-22 17:54:25
4490000,PHMD120064490042084000002,2006-01-24,,영업/정상,,,,331-834,31046,튼튼약국,I,2026-05-02 22:31:23,충청남도 천안시 서북구 성거읍 성거길 89,영업중,13,34,01,,217856.415753313    ,374675.002222374    ,충청남도 천안시 서북구 성거읍 송남리 12번지 1호,2006-01-24,2016-08-08 11:15:07
