철도운영기관명,선명,역명,역간거리,후행역간거리
코레일,1호선(경인선),연천,8.7,4
코레일,1호선(경인선),전곡,3.3,8.7
코레일,1호선(경인선),청산,5.8,3.3
코레일,1호선(경인선),소요산,2.4,4.1
코레일,1호선(경인선),동두천,1.6,2.4
코레일,1호선(경인선),보산,1.4,1.6
코레일,1호선(경인선),동두천중앙,1,1.4
코레일,1호선(경인선),지행,5.6,1
코레일,1호선(경인선),덕정,2.9,5.6
코레일,1호선(경인선),덕계,5.3,2.9
코레일,1호선(경인선),양주,1.6,5.3
코레일,1호선(경인선),녹양,1.3,1.6
코레일,1호선(경인선),가능,1.2,1.3
코레일,1호선(경인선),의정부,1.6,1.2
코레일,1호선(경인선),회룡,1.4,1.6
코레일,1호선(경인선),망월사,2.3,1.4
코레일,1호선(경인선),도봉산,1.2,2.3
코레일,1호선(경인선),도봉,1.3,1.2
코레일,1호선(경인선),방학,1.7,1.3
코레일,1호선(경인선),창동,1,1.7
코레일,1호선(경인선),녹천,1.4,1
코레일,1호선(경인선),월계,1.1,1.4
코레일,1호선(경인선),광운대,1.1,1.1
코레일,1호선(경인선),석계,1.4,1.1
코레일,1호선(경인선),신이문,0.8,1.4
코레일,1호선(경인선),외대앞,0.8,0.8
코레일,1호선(경인선),회기,1.4,0.8
코레일,1호선(경인선),남영,1.7,1.5
코레일,1호선(경인선),용산,1.5,2.6
코레일,1호선(경인선),노량진,2.6,1.5
코레일,1호선(경인선),대방,1.5,0.8
코레일,1호선(경인선),신길,0.8,1
코레일,1호선(경인선),영등포,1,1.5
코레일,1호선(경인선),신도림,1.5,1.1
코레일,1호선(경인선),구로,1.1,1.4
코레일,1호선(경인선),구일,1.4,1
코레일,1호선(경인선),개봉,1,1.3
코레일,1호선(경인선),오류동,1.3,1.9
코레일,1호선(경인선),온수,1.9,1.3
코레일,1호선(경인선),역곡,1.3,1.5
코레일,1호선(경인선),소사,1.5,1.1
코레일,1호선(경인선),부천,1.1,1.7
코레일,1호선(경인선),중동,1.7,1
코레일,1호선(경인선),송내,1,1.2
코레일,1호선(경인선),부개,1.2,1.5
코레일,1호선(경인선),부평,1.5,1.7
코레일,1호선(경인선),백운,1.7,1.5
코레일,1호선(경인선),동암,1.5,1.2
코레일,1호선(경인선),간석,1.2,1.2
코레일,1호선(경인선),주안,1.2,1
코레일,1호선(경인선),도화,1,1
코레일,1호선(경인선),제물포,1,1.4
코레일,1호선(경인선),도원,1.4,1.2
코레일,1호선(경인선),동인천,1.2,1.9
코레일,1호선(경인선),인천,1.9,
코레일,1호선(광명선),연천,8.7,4
코레일,1호선(광명선),전곡,3.3,8.7
코레일,1호선(광명선),청산,5.8,3.3
코레일,1호선(광명선),소요산,2.4,4.1
코레일,1호선(광명선),동두천,1.6,2.4
코레일,1호선(광명선),보산,1.4,1.6
코레일,1호선(광명선),동두천중앙,1,1.4
코레일,1호선(광명선),지행,5.6,1
코레일,1호선(광명선),덕정,2.9,5.6
코레일,1호선(광명선),덕계,5.3,2.9
코레일,1호선(광명선),양주,1.6,5.3
코레일,1호선(광명선),녹양,1.3,1.6
코레일,1호선(광명선),가능,1.2,1.3
코레일,1호선(광명선),의정부,1.6,1.2
코레일,1호선(광명선),회룡,1.4,1.6
코레일,1호선(광명선),망월사,2.3,1.4
코레일,1호선(광명선),도봉산,1.2,2.3
코레일,1호선(광명선),도봉,1.3,1.2
코레일,1호선(광명선),방학,1.7,1.3
코레일,1호선(광명선),창동,1,1.7
코레일,1호선(광명선),녹천,1.4,1
코레일,1호선(광명선),월계,1.1,1.4
코레일,1호선(광명선),광운대,1.1,1.1
코레일,1호선(광명선),석계,1.4,1.1
코레일,1호선(광명선),신이문,0.8,1.4
코레일,1호선(광명선),외대앞,0.8,0.8
코레일,1호선(광명선),회기,1.4,0.8
코레일,1호선(광명선),남영,1.7,1.5
코레일,1호선(광명선),용산,1.5,2.6
코레일,1호선(광명선),노량진,2.6,1.5
코레일,1호선(광명선),대방,1.5,0.8
코레일,1호선(광명선),신길,0.8,1
코레일,1호선(광명선),영등포,1,1.5
코레일,1호선(광명선),신도림,1.5,1.1
코레일,1호선(광명선),구로,1.1,1.4
코레일,1호선(광명선),가산디지털단지,2.4,2
코레일,1호선(광명선),독산,2,1.2
코레일,1호선(광명선),금천구청,1.2,1.9
코레일,1호선(광명선),광명,4.7,4.7
코레일,1호선(서동탄선),연천,8.7,4
코레일,1호선(서동탄선),전곡,3.3,8.7
코레일,1호선(서동탄선),청산,5.8,3.3
코레일,1호선(서동탄선),소요산,2.4,4.1
코레일,1호선(서동탄선),동두천,1.6,2.4
코레일,1호선(서동탄선),보산,1.4,1.6
코레일,1호선(서동탄선),동두천중앙,1,1.4
코레일,1호선(서동탄선),지행,5.6,1
코레일,1호선(서동탄선),덕정,2.9,5.6
코레일,1호선(서동탄선),덕계,5.3,2.9
코레일,1호선(서동탄선),양주,1.6,5.3
코레일,1호선(서동탄선),녹양,1.3,1.6
코레일,1호선(서동탄선),가능,1.2,1.3
코레일,1호선(서동탄선),의정부,1.6,1.2
코레일,1호선(서동탄선),회룡,1.4,1.6
코레일,1호선(서동탄선),망월사,2.3,1.4
코레일,1호선(서동탄선),도봉산,1.2,2.3
코레일,1호선(서동탄선),도봉,1.3,1.2
코레일,1호선(서동탄선),방학,1.7,1.3
코레일,1호선(서동탄선),창동,1,1.7
코레일,1호선(서동탄선),녹천,1.4,1
코레일,1호선(서동탄선),월계,1.1,1.4
코레일,1호선(서동탄선),광운대,1.1,1.1
코레일,1호선(서동탄선),석계,1.4,1.1
코레일,1호선(서동탄선),신이문,0.8,1.4
코레일,1호선(서동탄선),외대앞,0.8,0.8
코레일,1호선(서동탄선),회기,1.4,0.8
코레일,1호선(서동탄선),남영,1.7,1.5
코레일,1호선(서동탄선),용산,1.5,2.6
코레일,1호선(서동탄선),노량진,2.6,1.5
코레일,1호선(서동탄선),대방,1.5,0.8
코레일,1호선(서동탄선),신길,0.8,1
코레일,1호선(서동탄선),영등포,1,1.5
코레일,1호선(서동탄선),신도림,1.5,1.1
코레일,1호선(서동탄선),구로,1.1,1.4
코레일,1호선(서동탄선),가산디지털단지,2.4,2
코레일,1호선(서동탄선),독산,2,1.2
코레일,1호선(서동탄선),금천구청,1.2,1.9
코레일,1호선(서동탄선),석수,1.9,1.9
코레일,1호선(서동탄선),관악,1.9,2.4
코레일,1호선(서동탄선),안양,2.4,2.2
코레일,1호선(서동탄선),명학,2.2,1.4
코레일,1호선(서동탄선),금정,1.4,2.2
코레일,1호선(서동탄선),군포,2.2,1.6
코레일,1호선(서동탄선),당정,1.6,2.6
코레일,1호선(서동탄선),의왕,2.6,2.9
