개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,건물용도명,기존게임업외업종명,기타내역2,노래방실수,데이터갱신시점,도로명주소,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,상세영업상태명,상세영업상태코드,소방시설여부,시설면적,영업상태코드,음향시설여부,자동환기여부,전화번호,제공게임물명,제작취급품목내용,조명시설유무,조명시설조도,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,청소년실수,청소년실여부,총게임기수,총층수,통로너비,특수조명여부,편의시설여부,최종수정시점
4490000,CDFF2241022026000034,2026-04-30,,영업/정상,,,,,31146,구구PC,I,,,,,2026-05-01 22:34:33,"충청남도 천안시 서북구 봉정로 113, 용현빌딩 1층 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,115.5,01,,,,,,,,212513.278042397    ,367889.345925288    ,,충청남도 천안시 서북구 성정동 733-7 용현빌딩 ,,,,,,,,,,,2026-04-30 14:34:43
4490000,CDFF2241022026000017,2026-03-19,,영업/정상,,,,,31146,슈가PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 서북구 봉정로 87, 104호 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,55.65,01,,,,,,,,212463.610554589    ,367634.304865429    ,,충청남도 천안시 서북구 성정동 745-4 ,,,,,,10,,,,,2026-03-19 14:05:20
4490000,CDFF2241022026000016,2026-03-19,,영업/정상,,,,,31139,제니스PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 서북구 도원1길 32-16, 리앤하우스 1층 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,52.12,01,,,,,,,,211901.478327923    ,368894.804108704    ,,충청남도 천안시 서북구 성정동 841-1 ,,,,,,7,,,,,2026-03-19 14:03:32
4490000,CDFF2241022026000018,2026-03-23,,영업/정상,,,,,31039,올래PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 서북구 직산읍 자은가리1길 62, 대동상사 105호",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,49,01,,,,,,,,211064.341253735    ,374212.95699387     ,,충청남도 천안시 서북구 직산읍 모시리 208-1 대동상사 ,,,,,,9,,,,,2026-03-23 09:18:24
4490000,CDFF2241022026000012,2026-03-10,,영업/정상,,,,,31204,골드PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 동남구 통정2길 2, 1층 (신방동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,42,01,,,,,,,,211539.913582857    ,364157.338582154    ,,충청남도 천안시 동남구 신방동 1039 ,,,,,,,,,,,2026-03-10 15:30:11
4490000,CDFF2241022026000013,2026-03-10,,영업/정상,,,,,31124,로얄PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 동남구 신부4길 24-3, 1층 (신부동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,32,01,,,,,,,,214392.768168812    ,368478.303271008    ,,충청남도 천안시 동남구 신부동 504-30 ,,,,,,,,,,,2026-03-10 15:33:28
4490000,CDFF2241022026000020,2026-03-26,,영업/정상,,,,,31146,메가PC,I,,,,,2026-03-27 22:58:53,"충청남도 천안시 서북구 양지21길 32, 102호 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,41.2,01,,,,,,,,212354.095430315    ,367903.300051115    ,,충청남도 천안시 서북구 성정동 738-2 ,,,,,,7,,,,,2026-03-26 15:39:09
4490000,CDFF2241022026000035,2026-05-06,,영업/정상,,,,,31138,보물섬PC,I,,,,,2026-05-07 22:58:49,"충청남도 천안시 서북구 서부8길 22, 102호 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,58.41,01,,,,,,,,212320.596059119    ,368631.965973076    ,,충청남도 천안시 서북구 성정동 682-10 ,,,,,,,,,,,2026-05-06 10:08:17
4490000,CDFF2241022026000011,2026-02-13,,영업/정상,,,,,31146,미인PC,I,,,,,2026-03-26 22:35:41,"충청남도 천안시 서북구 양지10길 35, 1층 (성정동)",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,80.25,01,,,,,,,,212416.201077598    ,367691.877964146    ,,충청남도 천안시 서북구 성정동 746-4 ,,,,,,,,,,,2026-02-13 16:42:30
4490000,CDFF2241022026000009,2026-02-10,,영업/정상,,,,,31038,원탑PC,U,,,,,2026-05-05 03:03:03,"충청남도 천안시 서북구 직산읍 송기길 12, 1층",유통관련업,인터넷컴퓨터게임시설제공업,,,,,영업중,13,,35.19,01,,,,,,,,212207.83770952     ,374839.073668351    ,,충청남도 천안시 서북구 직산읍 부송리 39-1 ,,,,,,6,,,,,2026-05-04 16:32:39
