노선정보그룹,노선정보설명,전체노선길이,회차지순번,출발정류장,도착정류장,데이터 기준일
288000137,경로 수정 테스트,23797,131,288010385,288010386,2025-09-01
285000240,매곡3리 방면,14175,34,285000989,288002009,2025-09-01
288000138,신규테스트33,12011,53,288002096,288000498,2025-09-01
285000243,종합터미널 방면,12916,17,288000131,285010125,2025-09-01
285000237,백석농공단지 방면,12652,25,285010152,285071484,2025-09-01
285000235,백석농공단지 방면,14514,40,288001101,285071484,2025-09-01
285000236,산동1리(종점) 방면,12318,11,285000989,285010151,2025-09-01
285000242,선문대학교 방면,12693,57,285000687,285001693,2025-09-01
285000239,백석농공단지 방면,12468,3,285001745,285071484,2025-09-01
285000234,월랑1리 방면,15103,13,285000989,288001102,2025-09-01
285000238,동산2리 방면,12050,19,285000989,285001575,2025-09-01
285000241,백석농공단지 방면,14369,14,288002008,285071484,2025-09-01
288000158,970노선0213,65220,149,288000489,288000498,2025-09-01
288000159,980노선0213,77867,158,288000489,288000498,2025-09-01
288000160,981노선0213,29505,73,288001547,288001055,2025-09-01
288000161,982노선0213,19263,84,288001618,285010125,2025-09-01
288000162,990노선0213,58344,149,288002127,288002128,2025-09-01
288000163,311번,47793,103,288010167,288010168,2025-09-01
288000164,321번,48126,96,288000761,288000715,2025-09-01
288000165,320번,52882,108,288010167,288010168,2025-09-01
288000166,720,26422,86,288001117,288000498,2025-09-01
288000167,980번,78003,157,288000489,288000498,2025-09-01
288000168,980,78003,156,288000489,288000498,2025-09-01
288000171,마중10,2554,8,288002181,288002180,2025-09-01
288000213,200,22777,37,288001155,288001156,2025-09-01
288000214,201,33455,56,288001003,288001002,2025-09-01
288000215,210,28672,48,288001156,288001155,2025-09-01
288000216,220,36463,55,288001155,288001156,2025-09-01
288000217,221,23300,40,288001113,288001114,2025-09-01
288000218,230,26558,41,288001438,285000095,2025-09-01
288000219,231,26557,40,288001438,285000095,2025-09-01
288000220,240,54061,101,288000489,288000498,2025-09-01
288000221,300,26136,62,288000761,288000715,2025-09-01
288000222,301,27853,67,288000761,288000715,2025-09-01
288000223,302,31239,66,288000761,288000715,2025-09-01
288000224,303,16867,77,288001480,288000752,2025-09-01
288000229,401,59410,102,288000448,288001545,2025-09-01
288000230,402,45203,90,288000448,288001545,2025-09-01
288000282,221,23279,41,288001113,288001114,2025-09-01
288000283,221,23199,41,288001113,288001114,2025-09-01
288000284,230,26479,42,288001438,285000095,2025-09-01
288000285,231,26478,41,288001438,285000095,2025-09-01
288000286,240,53982,102,288000489,288000498,2025-09-01
288000290,340,17462,53,288000761,288000715,2025-09-01
288000291,990,58606,149,288002127,288002128,2025-09-01
288000292,991,43145,104,288002127,288002128,2025-09-01
288000293,350,33095,58,288010167,288010168,2025-09-01
288000294,351,20102,45,288010167,288010168,2025-09-01
288000295,352,34092,56,288010167,288010168,2025-09-01
288000322,420번,46892,88,288010167,288010168,2025-09-01
288000358,621,51498,72,288000729,288000732,2025-09-01
288000378,401번,59574,102,288000448,288001545,2025-09-01
288000394,503번 (개편),51794,100,288010385,288010483,2025-09-01
288000419,777,48049,76,288001074,288001054,2025-09-01
288000420,700,55673,115,288000489,288000498,2025-09-01
288000421,701,59222,124,288000489,288000498,2025-09-01
288000422,612,63303,100,288001545,288000448,2025-09-01
288000423,700,50643,105,288000489,288000498,2025-09-01
288000473,50번_노선수정(24일),21353,34,288001156,288001155,2025-09-01
288000474,501번_노선수정(24일),68106,129,288010468,288010468,2025-09-01
288000475,502_노선수정(24일),19254,76,288001156,288010468,2025-09-01
288000476,200_노선수정(24일),28935,52,288001156,288001155,2025-09-01
288000477,201_노선수정(24일),30838,56,288001156,288001155,2025-09-01
288000494,54 (1203),44483,61,288000612,288000637,2025-09-01
288000495,53,39900,49,288000612,288000637,2025-09-01
288000496,54번_노선수정(12월7일),44483,60,288000612,288000637,2025-09-01
288000497,170번_노선수정(12월8일),25320,57,288000489,288000498,2025-09-01
288000507,701_노선수정(12월22일),55241,109,288000489,288000498,2025-09-01
288000508,701_노선편집(12월28일),55194,109,288000489,288000498,2025-09-01
288000509,700_노선수정(12월28일),51645,100,288000489,288000498,2025-09-01
288000510,777_노선수정(12월28일),49653,75,288001074,288001054,2025-09-01
288000511,710_노선수정(12월28일),26949,58,288000729,288000732,2025-09-01
288000512,700_노선수정(12월29일),51645,101,288000489,288000498,2025-09-01
288000513,701_노선수정(12월29일),55194,110,288000489,288000498,2025-09-01
288000514,52번_노선수정(12월30일),33835,41,288000612,288000637,2025-09-01
288000515,220번_노선수정(01월05일),23634,42,288001113,288001114,2025-09-01
288000516,230번_노선수정(01월05일),31050,39,288001994,288001993,2025-09-01
288000517,731_노선수정(01월05일),43564,99,288000489,288000498,2025-09-01
288000518,777_노선수정(01월05일),49653,76,288001074,288001054,2025-09-01
288000519,980_노선수정(01월05일),60968,129,288000762,288000715,2025-09-01
288000520,981_노선수정(01월05일),49522,95,288010138,288000800,2025-09-01
288000521,730_노선수정(01월05일),46844,103,288000489,288000498,2025-09-01
288000522,982_노선수정(01월05일),57560,111,288010138,288000800,2025-09-01
288000523,401_노선수정(01월06일),59574,103,288000448,288001545,2025-09-01
288000524,402_노선수정(01월06일),45203,91,288000448,288001545,2025-09-01
288000525,403_노선수정(01월06일),37717,98,288000448,288001545,2025-09-01
288000526,850번_노선수정(01월07일),16222,46,288000489,288000498,2025-09-01
288000529,50번_노선수정(1월11일),20952,35,288001156,288001155,2025-09-01
288000530,60번_노선수정(1월11일),18195,23,288000612,288000637,2025-09-01
288000531,980_노선수정(1월11일),60968,128,288000762,288000715,2025-09-01
288000532,900번_노선수정(1월11일),24572,113,285000687,288001496,2025-09-01
288000533,910_노선수정(1월11일),26020,115,285000687,288001496,2025-09-01
288000534,920_노선수정(1월11일),27120,124,285000685,288001496,2025-09-01
288000535,502번,38582,76,288001156,288001155,2025-09-01
288000536,150_노선수정(1월12일),10160,44,288002096,288000498,2025-09-01
288000537,610_노선수정(1월12일),71000,125,288001545,288000448,2025-09-01
288000538,611_노선수정(1월12일),69304,121,288001545,288000448,2025-09-01
288000539,612_노선수정(1월12일),69251,113,288001545,288000448,2025-09-01
288000540,613_노선수정(1월12일),82714,137,288000448,288001545,2025-09-01
288000541,614_노선수정(1월12일),80724,135,288000448,288001545,2025-09-01
288000542,900_천안출발_1월13일,24544,113,285000687,288001496,2025-09-01
288000543,900_현충사출발_1월13일,25465,120,288001496,285000687,2025-09-01
288000544,910_천안출발_1월13일,26040,115,285000687,288001496,2025-09-01
288000546,920_종합터미널출발_1월13일,27140,125,285000685,288001496,2025-09-01
288000545,910_현충사출발_1월13일,26725,119,288001496,285000687,2025-09-01
288000547,920_현충사출발_1월13일,25557,114,288001496,285000685,2025-09-01
288000548,701_노선수정_1월13일,55158,110,288000489,288000498,2025-09-01
288000549,700_노선수정_1월13일,51609,101,288000489,288000498,2025-09-01
288000550,970_노선수정_1월13일,65427,149,288000489,288000498,2025-09-01
288000141,,52799,137,288001496,288001496,2025-09-01
288000147,,19852,48,288010167,288010168,2025-09-01
288000148,,34092,62,288010167,288010168,2025-09-01
288000149,,49935,103,288010167,288010168,2025-09-01
288000205,순환1,23681,52,288010385,288010483,2025-09-01
288000206,100,30410,65,288000489,288000498,2025-09-01
288000207,100,30410,65,288000489,288000498,2025-09-01
288000208,150,12011,50,288002096,288000498,2025-09-01
288000225,310,37501,84,288000761,288000715,2025-09-01
288000226,311,45988,98,288000761,288000715,2025-09-01
288000227,320,51127,104,288000761,288000715,2025-09-01
288000228,612,41327,137,288000448,288001588,2025-09-01
288000275,810,31098,79,288000762,288000715,2025-09-01
288000276,820,35326,82,288000762,288000715,2025-09-01
288000277,830,24476,57,288000762,288000715,2025-09-01
288000278,840,33430,76,288000762,288000715,2025-09-01
288000279,15,29113,44,288001959,288001958,2025-09-01
288000280,220,36464,56,288001155,288001156,2025-09-01
288000281,220,36464,56,288001155,288001156,2025-09-01
288000296,920,27120,122,285000685,288001496,2025-09-01
288000297,910,26020,113,285000687,288001496,2025-09-01
288000298,901,20534,92,285000687,288000715,2025-09-01
288000299,911,19130,90,285000687,288000715,2025-09-01
288000300,921,21625,101,285000685,288000715,2025-09-01
288000301,931,20583,93,285000687,288000715,2025-09-01
288000323,771,29564,60,288001494,288001069,2025-09-01
288000324,777,33281,44,288001547,288002193,2025-09-01
288000325,990,59017,150,288002127,288002128,2025-09-01
288000326,991,43622,105,288002127,288002128,2025-09-01
