노드ID,노드명,노드단축명,위도,경도,출발감지반경,도착감지반경,사용여부,데이터 기준일
2880003600,0,,36.77175360 ,126.86485730 ,30,30,1,2025-09-01
2980011900,0,,36.76564380 ,126.81567980 ,30,30,1,2025-09-01
2850011400,0,,36.76726070 ,127.13154190 ,30,30,1,2025-09-01
2880003300,0,,36.76474276 ,126.86598540 ,30,30,1,2025-09-01
2880003000,0,,36.76025830 ,127.02326830 ,30,30,1,2025-09-01
2880002600,0,,36.75668052 ,126.86784960 ,30,30,1,2025-09-01
2880002200,0,,36.75481533 ,126.97339780 ,30,30,1,2025-09-01
2880002100,101,,36.75259000 ,126.98560000 ,30,30,1,2025-09-01
2850007400,0,,36.75244845 ,127.12687190 ,30,30,1,2025-09-01
2850006400,0,,36.74535836 ,127.12615930 ,30,30,1,2025-09-01
2880001700,0,,36.74469311 ,127.04739870 ,30,30,1,2025-09-01
2980010400,0,,36.73950342 ,126.73568830 ,30,30,1,2025-09-01
2880001500,0,,36.74201867 ,127.01451890 ,30,30,1,2025-09-01
2980010300,0,,36.73913489 ,126.82500680 ,30,30,1,2025-09-01
2980010200,0,,36.73783252 ,126.73566530 ,30,30,1,2025-09-01
2980010000,0,,36.73607145 ,126.75412840 ,30,30,1,2025-09-01
2980009900,0,,36.73582305 ,126.75498860 ,30,30,1,2025-09-01
2980009800,0,,36.73342917 ,126.73562620 ,30,30,1,2025-09-01
2980009700,0,,36.73405395 ,126.82889820 ,30,30,1,2025-09-01
2980009600,0,,36.73212567 ,126.83201320 ,30,30,1,2025-09-01
2980009300,0,,36.72878230 ,126.76720050 ,30,30,1,2025-09-01
2880001300,0,,36.73067247 ,127.00797380 ,30,30,1,2025-09-01
2880001200,0,,36.72603217 ,127.00464360 ,30,30,1,2025-09-01
2880001000,0,,36.72114470 ,126.92120720 ,30,30,1,2025-09-01
2880000800,0,,36.71698573 ,127.00588010 ,30,30,1,2025-09-01
2880000700,0,,36.71162039 ,126.95582010 ,30,30,1,2025-09-01
2980008100,0,,36.70775058 ,126.81253580 ,30,30,1,2025-09-01
2880000500,0,,36.70980355 ,127.07040830 ,30,30,1,2025-09-01
2850003600,0,,36.70820026 ,127.07133210 ,30,30,1,2025-09-01
2880000200,0,,36.70580836 ,127.00238500 ,30,30,1,2025-09-01
2850003400,0,,36.70619145 ,127.11022310 ,30,30,1,2025-09-01
2880000100,0,,36.70355485 ,126.98914020 ,30,30,1,2025-09-01
2980006900,0,,36.70239314 ,126.91888050 ,30,30,1,2025-09-01
2980006800,0,,36.70026239 ,126.82111330 ,30,30,1,2025-09-01
2980006700,0,,36.70123505 ,126.95316150 ,30,30,1,2025-09-01
2980006600,0,,36.69975708 ,126.82271610 ,30,30,1,2025-09-01
2850003100,0,,36.70038658 ,127.07189200 ,30,30,1,2025-09-01
2850002700,0,,36.69754264 ,127.09643500 ,30,30,1,2025-09-01
2980005800,0,,36.68733580 ,126.75924530 ,30,30,1,2025-09-01
2850001900,0,,36.68718017 ,127.07847530 ,30,30,1,2025-09-01
2980004900,0,,36.68485520 ,126.81570990 ,30,30,1,2025-09-01
2850001700,0,,36.68698445 ,127.07927560 ,30,30,1,2025-09-01
2980004700,0,,36.68347586 ,126.82367070 ,30,30,1,2025-09-01
2980004300,0,,36.67708398 ,126.90632840 ,30,30,1,2025-09-01
2980004200,0,,36.67705736 ,126.90789250 ,30,30,1,2025-09-01
2980002900,0,,36.65235595 ,126.88265330 ,30,30,1,2025-09-01
2860028400,0,,36.65216305 ,126.98265210 ,30,30,1,2025-09-01
2980002400,0,,36.64114348 ,126.88061490 ,30,30,1,2025-09-01
2980002300,0,,36.63925630 ,126.88074490 ,30,30,1,2025-09-01
2980002200,0,,36.63687655 ,126.88092880 ,30,30,1,2025-09-01
2860027500,0,,36.63354648 ,127.03355880 ,30,30,1,2025-09-01
2860027400,0,,36.63026505 ,127.06597570 ,30,30,1,2025-09-01
2860027200,0,,36.62657767 ,127.12398680 ,30,30,1,2025-09-01
2860026800,0,,36.62030980 ,127.10297860 ,30,30,1,2025-09-01
2860026700,0,,36.62030123 ,127.10222660 ,30,30,1,2025-09-01
2860026600,0,,36.61988583 ,127.10325820 ,30,30,1,2025-09-01
2860026500,0,,36.61968805 ,127.10341110 ,30,30,1,2025-09-01
2860025900,0,,36.60921536 ,127.04938350 ,30,30,1,2025-09-01
2860025800,0,,36.60684248 ,127.12424160 ,30,30,1,2025-09-01
2980001500,0,,36.60282614 ,126.86885000 ,30,30,1,2025-09-01
2860025600,0,,36.60471720 ,127.12302450 ,30,30,1,2025-09-01
2860025100,0,,36.59742939 ,127.04675460 ,30,30,1,2025-09-01
2980001300,0,,36.59557636 ,126.86285320 ,30,30,1,2025-09-01
2980001100,0,,36.59148839 ,126.91329690 ,30,30,1,2025-09-01
2980001000,0,,36.58928348 ,126.92690920 ,30,30,1,2025-09-01
2860024800,0,,36.58909011 ,126.92708290 ,30,30,1,2025-09-01
2860024400,0,,36.58027030 ,126.93812880 ,30,30,1,2025-09-01
2860023400,0,,36.55878052 ,126.94679260 ,30,30,1,2025-09-01
2860023300,0,,36.55678776 ,126.94951240 ,30,30,1,2025-09-01
2860023200,0,,36.55604611 ,126.95511040 ,30,30,1,2025-09-01
2860023100,0,,36.55579908 ,126.95115410 ,30,30,1,2025-09-01
2860023000,0,,36.55575320 ,126.95250710 ,30,30,1,2025-09-01
2860022700,0,,36.55447155 ,126.96847420 ,30,30,1,2025-09-01
2860022500,0,,36.55054189 ,126.95507360 ,30,30,1,2025-09-01
2860022400,0,,36.55054870 ,126.95650960 ,30,30,1,2025-09-01
2860022300,0,,36.55024380 ,126.95096070 ,30,30,1,2025-09-01
2860022200,0,,36.55021167 ,126.95233780 ,30,30,1,2025-09-01
2860021800,0,,36.54397214 ,126.94882420 ,30,30,1,2025-09-01
2880009700,0,,36.84028272 ,126.86652530 ,30,30,1,2025-09-01
2880010100,0,,36.84353484 ,126.87936450 ,30,30,1,2025-09-01
2980003800,0,,36.67142817 ,126.87927700 ,30,30,1,2025-09-01
2850001000,0,,36.67325362 ,127.05132730 ,30,30,1,2025-09-01
2860028000,0,,36.64801205 ,127.03998920 ,30,30,1,2025-09-01
2860027900,0,,36.64577155 ,127.03996230 ,30,30,1,2025-09-01
2850013001,0,천안삼거리휴게소,36.78955177 ,127.17148850 ,30,30,1,2025-09-01
2850022701,0,입장휴게소,36.94557639 ,127.18933030 ,30,30,1,2025-09-01
3000017702,0,행담도휴게소,36.94299505 ,126.80875380 ,30,30,1,2025-09-01
3000017701,0,행담도휴게소,36.94279470 ,126.80944180 ,30,30,1,2025-09-01
2860026900,0,정안요금소,36.62153767 ,127.12232150 ,30,30,1,2025-09-01
3000017200,0,송악요금소,36.93486239 ,126.78578930 ,30,30,1,2025-09-01
3000016800,0,송악IC,36.93345839 ,126.78066040 ,30,30,1,2025-09-01
3000016700,0,송악IC,36.93321258 ,126.77708190 ,30,30,1,2025-09-01
3000011600,0,당진요금소,36.89566920 ,126.70150240 ,30,30,1,2025-09-01
3000011400,0,당진IC,36.89523251 ,126.71063510 ,30,30,1,2025-09-01
3000010800,0,당진IC,36.89393367 ,126.70428610 ,30,30,1,2025-09-01
2850022700,0,천안IC,36.83121652 ,127.17245550 ,30,30,1,2025-09-01
2850022300,0,천안요금소,36.82688705 ,127.16558080 ,30,30,1,2025-09-01
2850022000,0,천안IC,36.82655289 ,127.16683000 ,30,30,1,2025-09-01
2850021300,0,천안IC,36.82461067 ,127.16764300 ,30,30,1,2025-09-01
2850013000,0,천안JC,36.77500014 ,127.17754850 ,30,30,1,2025-09-01
2850011200,0,천안JC,36.76699855 ,127.18934900 ,30,30,1,2025-09-01
2850010700,0,천안JC,36.76484111 ,127.17750750 ,30,30,1,2025-09-01
2850008000,0,남천안IC,36.75728252 ,127.16570910 ,30,30,1,2025-09-01
2850007500,0,남천안IC,36.75289183 ,127.16641640 ,30,30,1,2025-09-01
2850006900,0,남천안IC,36.75087123 ,127.16437450 ,30,30,1,2025-09-01
