배차그룹ID,그룹명,배차유형,사용여부,데이터 기준일
288000001,순환1,0,1,2025-09-01
288000002,100,0,1,2025-09-01
288000014,150,0,1,2025-09-01
288000015,170,0,1,2025-09-01
288000016,171,0,1,2025-09-01
288000017,172,0,1,2025-09-01
288000022,200,0,1,2025-09-01
288000023,201,0,1,2025-09-01
288000024,210,0,1,2025-09-01
288000025,220,0,1,2025-09-01
288000026,221,0,1,2025-09-01
288000027,230,0,1,2025-09-01
288000028,231,0,1,2025-09-01
288000029,240,0,1,2025-09-01
288000030,300,0,1,2025-09-01
288000031,301,0,1,2025-09-01
288000032,302,0,1,2025-09-01
288000033,303,0,1,2025-09-01
288000034,310,0,1,2025-09-01
288000035,311,0,1,2025-09-01
288000036,320,0,1,2025-09-01
288000037,321,0,1,2025-09-01
288000038,340,0,1,2025-09-01
288000039,350,0,1,2025-09-01
288000040,351,0,1,2025-09-01
288000041,352,0,1,2025-09-01
288000042,400,0,1,2025-09-01
288000043,401,0,1,2025-09-01
288000044,402,0,1,2025-09-01
288000045,403,0,1,2025-09-01
288000046,410,0,1,2025-09-01
288000047,420,0,1,2025-09-01
288000048,430,0,1,2025-09-01
288000049,441,0,1,2025-09-01
288000050,450,0,1,2025-09-01
288000051,451,0,1,2025-09-01
288000052,500,0,1,2025-09-01
288000053,501,0,1,2025-09-01
288000054,502,0,1,2025-09-01
288000055,510,0,1,2025-09-01
288000056,511,0,1,2025-09-01
288000057,512,0,1,2025-09-01
288000058,530,0,1,2025-09-01
288000059,531,0,1,2025-09-01
288000060,540,0,1,2025-09-01
288000061,541,0,1,2025-09-01
288000062,560,0,1,2025-09-01
288000063,600,0,1,2025-09-01
288000064,601,0,1,2025-09-01
288000065,610,0,1,2025-09-01
288000066,611,0,1,2025-09-01
288000067,612,0,1,2025-09-01
288000068,613,0,1,2025-09-01
288000069,614,0,1,2025-09-01
288000070,620,0,1,2025-09-01
288000071,621,0,1,2025-09-01
288000072,622,0,1,2025-09-01
288000073,630,0,1,2025-09-01
288000074,640,0,1,2025-09-01
288000075,650,0,1,2025-09-01
288000076,660,0,1,2025-09-01
288000077,700,0,1,2025-09-01
288000078,701,0,1,2025-09-01
288000079,710,0,1,2025-09-01
288000080,711,0,1,2025-09-01
288000081,720,0,1,2025-09-01
288000082,730,0,1,2025-09-01
288000083,740,0,1,2025-09-01
288000084,750,0,1,2025-09-01
288000085,760,0,1,2025-09-01
288000086,770,0,1,2025-09-01
288000087,771,0,1,2025-09-01
288000088,777,0,1,2025-09-01
288000089,800,0,1,2025-09-01
288000090,801,0,1,2025-09-01
288000091,810,0,1,2025-09-01
288000092,820,0,1,2025-09-01
288000093,830,0,1,2025-09-01
288000094,840,0,1,2025-09-01
288000095,850,0,1,2025-09-01
288000096,900,0,1,2025-09-01
288000097,901,0,1,2025-09-01
288000098,910,0,1,2025-09-01
288000099,911,0,1,2025-09-01
288000100,920,0,1,2025-09-01
288000101,921,0,1,2025-09-01
288000102,930,0,1,2025-09-01
288000103,931,0,1,2025-09-01
288000104,970,0,1,2025-09-01
288000105,980,0,1,2025-09-01
288000106,981,0,1,2025-09-01
288000107,982,0,1,2025-09-01
288000108,990,0,1,2025-09-01
288000109,991,0,1,2025-09-01
288000110,1,0,1,2025-09-01
288000111,2,0,1,2025-09-01
288000112,3,0,1,2025-09-01
288000113,4,0,1,2025-09-01
288000114,5,0,1,2025-09-01
288000115,6,0,1,2025-09-01
288000116,7,0,1,2025-09-01
288000117,8,0,1,2025-09-01
288000118,9,0,1,2025-09-01
288000119,10,0,1,2025-09-01
288000120,11,0,1,2025-09-01
288000121,12,0,1,2025-09-01
288000122,13,0,1,2025-09-01
288000123,14,0,1,2025-09-01
288000124,15,0,1,2025-09-01
288000125,16,0,1,2025-09-01
288000127,17,0,1,2025-09-01
288000128,18,0,1,2025-09-01
288000129,19,0,1,2025-09-01
288000130,20,0,1,2025-09-01
288000131,21,0,1,2025-09-01
288000132,22,0,1,2025-09-01
288000133,23,0,1,2025-09-01
288000134,24,0,1,2025-09-01
288000135,순환2,0,1,2025-09-01
288000136,151,0,1,2025-09-01
