연번,고유번호,정류소명,정류소주소,읍면동,시설구분
1,1,윤정사앞,충청남도 아산시 배방읍 북수리 886,배방읍,표지판
2,3,북수1리 입구,충청남도 아산시 배방읍 북수리 201,배방읍,시설없음
3,4,회룡2리,충청남도 아산시 배방읍 회룡리 180-5,배방읍,유개승강장
4,5,회룡1리 마을회관,충청남도 아산시 배방읍 회룡리 38-6,배방읍,표지판
5,6,세출리,충청남도 아산시 배방읍 세출리 345-3,배방읍,시설없음
6,11,석당리아랫마을,충청남도 아산시 도고면 석당리 167-2,도고면,표지판
7,12,석당리아랫마을,충청남도 아산시 도고면 석당리 167-2,도고면,표지판
8,15,신덕2리앞뜸,충청남도 아산시 선장면 장곳리 405,선장면,표지판
9,17,뒤뜸,충청남도 아산시 선장면 신덕리 187-1,선장면,표지판
10,18,건너하평,충청남도 아산시 선장면 신덕리 627,선장면,유개승강장
11,20,신덕1리,충청남도 아산시 선장면 신덕리 501,선장면,시설없음
12,21,장곳리,충청남도 아산시 선장면 장곳리 22-1,선장면,유개승강장
13,23,신덕2리,충청남도 아산시 선장면 신덕리 65-107,선장면,유개승강장
14,25,신덕1리사거리,충청남도 아산시 선장면 신덕리 583,선장면,유개승강장
15,30,대정리,충청남도 아산시 선장면 대정리 242,선장면,유개승강장
16,32,신언4리,충청남도 아산시 도고면 신언리 301-2,도고면,표지판
17,34,신언2리,충청남도 아산시 도고면 신언리 139-28,도고면,유개승강장+표지판
18,35,도고아파트,충청남도 아산시 도고면 신언리 106-6,도고면,표지판
19,36,금산리 남성,충청남도 아산시 도고면 금산리 194-10,도고면,유개승강장
20,39,금산리,충청남도 아산시 도고면 금산리 202-2,도고면,표지판
21,40,금산1리 음지말,충청남도 아산시 도고면 금산리 185-2,도고면,유개승강장
22,41,도고아파트,충청남도 아산시 도고면 신언리 106-6,도고면,유개승강장
23,43,신언리삼거리,충청남도 아산시 도고면 신언리 100-6,도고면,유개승강장+표지판
24,48,봉농리 봉암,충청남도 아산시 도고면 금산리 237-1,도고면,유개승강장
25,51,군덕교,충청남도 아산시 도고면 신언리 740-1,도고면,유개승강장
