route_no,route_name,start_stop_id,end_stop_id,interval_min
285000002,백석농공단지 방면,285071398,285000989,0
285000010,천안아산역 방면,285000640,285002022,0
285000011,단대병원 방면,285002022,285001715,0
285000014,직산대림아파트 방면,285002022,285002022,0
285000015,천안아산역 방면,285000960,285002022,0
285000016,천안아산역 방면,285000640,285002022,0
285000017,단대병원 방면,285002022,285001715,0
285000018,천안시종합사회복지관,285000989,285071663,0
285000019,백석농공단지 방면,285071663,285071484,0
285000022,종합터미널 방면,288001091,285010014,0
285000023,태헌장미아파트 방면,285010014,288001094,0
285000051,업성고교 방면,285002247,285002083,0
285000052,신방도서관.푸르지오 방면,285002062,285002246,0
285000054,남서울대 주차장 방면,285071675,285000545,0
285000055,신부경남아파트 방면,285000545,285000688,0
285000204,휴대2리 방면,285000686,285001413,0
285000205,종합터미널 방면,285001413,285010125,0
285000234,월랑1리 방면,285000989,288001102,0
285000235,백석농공단지 방면,288001101,285071484,0
285000236,산동1리(종점) 방면,285000989,285010151,0
285000237,백석농공단지 방면,285010152,285071484,0
285000238,동산2리 방면,285000989,285001575,0
285000239,백석농공단지 방면,285001745,285071484,0
285000240,매곡3리 방면,285000989,288002009,0
285000241,백석농공단지 방면,288002008,285071484,0
285000242,선문대학교 방면,285000687,285001693,0
285000243,종합터미널 방면,288000131,285010125,0
285000282,종합터미널 방면,285000686,285000685,0
285000310,천안아산 방면,285000687,285002022,0
285000311,종합터미널 방면,285002022,285010125,0
285000325,차암2통 방면,285000686,285001004,0
285000326,종합터미널 방면,285010148,285010125,0
285000355,285000258수정(931),288000762,285000685,0
285000356,285000257수정(931),285000687,288000715,0
285000358,285000255(921)수정,288000762,285000685,0
285000359,285000254(921)수정,285000685,288000715,0
285000360,285000253(920)수정,288001496,285000685,0
285000361,285000252(920)수정,285000685,288001496,0
285000362,285000251(911)수정,288000762,285000687,0
285000363,285000250(911)수정,285000687,288000715,0
285000364,285000249(910)수정,288001496,285000687,0
285000365,285000248(910)수정,285000687,288001496,0
285000366,285000247(901)수정,288000762,285000687,0
285000367,285000246(901)수정,285000687,288000715,0
285000368,285000245(900)수정,288001496,285000687,0
285000369,285000244(900)수정,285000687,288001496,0
285000375,심야버스 12월 1일 운행예정,285000686,285071722,0
285000376,심야버스 12월 1일 운행예정,285071723,285010125,0
285000385,신부종합터미널 방면(급행),285000979,285000978,0
285000386,천안시청 방면(급행),285002086,285000978,0
285000401,아산 기반정보 테스,285000972,285000973,0
288000001,순환1번,288010385,288010386,0
288000002,100번,288000489,288000498,0
288000014,150번,288002096,288000498,0
288000015,170번,288000489,288000498,0
288000016,171번,288000489,288000498,0
288000017,172번,288000489,288000498,0
288000022,200번,288001155,288001156,0
288000023,201번,288001003,288001002,0
288000024,210번,288001156,288001155,0
288000025,220번,288001155,288001156,0
288000026,221번,288001113,288001114,0
288000027,230번,288001438,285000095,0
288000028,231번,288001438,285000095,0
288000029,240번,288000489,288000498,0
288000030,300번,288010167,288010168,0
288000031,301번,288010167,288010168,0
288000032,302번,288010167,288010168,0
288000033,303번,288001480,288000752,0
288000034,310번,288010167,288010168,0
288000035,311번,288010167,288010168,0
288000036,320번,288010167,288010168,0
288000037,321번,288010167,288010168,0
288000038,340번,288000761,288000715,0
288000039,350번,288010167,288010168,0
288000040,351번,288010167,288010168,0
288000041,352번,288010167,288010168,0
288000042,400번,288000377,288000715,0
288000043,401번,288000448,288001545,0
288000044,402번,288000448,288001545,0
288000045,403번,288000448,288001545,0
288000046,410번,288010167,288010168,0
288000047,420번,288010167,288010168,0
