"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00001","프라임기획오룡골가든","음식점","ST001","충청남도 아산시 영인면 아산호로638번길 35-7","36.908248","126.973193"
"F00002","놀부식당","음식점","ST001","충청남도 아산시 영인면 아산호로 652","36.911448","126.975436"
"F00003","우압곰탕집","음식점","ST001","충청남도 아산시 영인면 아산호로 665","36.912088","126.976928"
"F00004","대선제분구내식당","음식점","ST001","충청남도 아산시 영인면 아산호로 680","36.909304","126.977984"
"F00005","신봉식당","음식점","ST001","충청남도 아산시 영인면 장영실로 719","36.900069","126.989195"
"F00006","이마트24SMART아산영인신봉점","편의점","ST001","충청남도 아산시 영인면 장영실로 719","36.900069","126.989195"
"F00007","남창옛날통닭","음식점","ST001","충청남도 아산시 둔포면 아산호로 900-1","36.918677","127.001167"
"F00008","세븐일레븐아산신남","편의점","ST001","충청남도 아산시 둔포면 아산호로 900-1","36.918677","127.001167"
"F00009","삼성웰스토리세정주","음식점","ST001","충청남도 아산시 둔포면 아산호로840번길 65-20","36.909873","127.001358"
"F00010","돼지촌국밥","음식점","ST001","충청남도 아산시 둔포면 아산호로 904","36.918794","127.001369"
"F00011","동원홈푸드삼조쎌텍점주","음식점","ST001","충청남도 아산시 영인면 신봉길 288","36.902980","127.002435"
"F00012","약선장어직판장","음식점","ST001","충청남도 아산시 둔포면 아산호로840번길 65-40","36.910378","127.002839"
"F00013","동원홈푸드두올물산점주","음식점","ST001","충청남도 아산시 영인면 윤보선로 230","36.894816","127.005576"
"F00014","수라간한식당","음식점","ST001","충청남도 아산시 둔포면 장영실로 929-33","36.910982","127.005667"
"F00015","동원홈푸드동원아산(동원F&B)점주","음식점","ST001","충청남도 아산시 둔포면 윤보선로 320","36.899879","127.014653"
"F00016","세븐일레븐아산둔포신남점","편의점","ST001","충청남도 아산시 둔포면 윤보선로336번길 6","36.901249","127.014911"
"F00017","솔밭가든","음식점","ST001","충청남도 아산시 둔포면 아산호로 1030","36.923912","127.013894"
"F00018","서연커피","카페","ST001","충청남도 아산시 둔포면 윤보선로248번길 123","36.894490","127.018444"
"F00019","복주골오리한상","음식점","ST001","충청남도 아산시 음봉면 충무로 1134","36.874421","127.028612"
"F00020","김밥이야기","음식점","ST001","충청남도 아산시 둔포면 해위길52번길 35","36.896680","127.018747"
"F00021","한샘식당","음식점","ST001","충청남도 아산시 둔포면 윤보선로336번길 36","36.900861","127.017896"
"F00022","괴강어죽","음식점","ST001","충청남도 아산시 둔포면 충무로 1150","36.875700","127.029106"
"F00023","산촌보리밥","음식점","ST001","충청남도 아산시 둔포면 해위안길32번길 20","36.896572","127.019555"
"F00024","선유밴댕이","음식점","ST001","충청남도 아산시 둔포면 해위안길32번길 14","36.896671","127.019791"
"F00025","카나리아푸드","음식점","ST001","충청남도 아산시 둔포면 아산호로1082번길 16-17","36.923262","127.018922"
"F00026","정가네가마솥국밥","음식점","ST001","충청남도 아산시 둔포면 충무로 1179","36.878313","127.029455"
"F00027","세븐일레븐아산봉제","편의점","ST001","충청남도 아산시 둔포면 충무로 1179","36.878313","127.029455"
"F00028","에밀리의슈가","음식점","ST001","충청남도 아산시 둔포면 해위길 104","36.899833","127.021060"
"F00029","브라운에프엔비디오토모티브점","음식점","ST001","충청남도 아산시 둔포면 해위안길62번길 16","36.893868","127.022965"
"F00030","국수기행입장점","음식점","ST001","충청남도 천안시 서북구 입장면 망향로 1240","36.919672","127.234060"
"F00031","동춘당꽈배기입장점","음식점","ST001","충청남도 천안시 서북구 입장면 망향로 1240","36.919672","127.234060"
"F00032","이마트24천안입장","편의점","ST001","충청남도 천안시 서북구 입장면 망향로 1240","36.919645","127.234060"
"F00033","이모네식당","음식점","ST001","충청남도 아산시 둔포면 윤보선로 458","36.910502","127.020614"
"F00034","세븐일레븐아산둔포송용점","편의점","ST001","충청남도 아산시 둔포면 윤보선로 458","36.910502","127.020614"
"F00035","지에스25둔포공단점","편의점","ST001","충청남도 아산시 둔포면 윤보선로336번길 73","36.901807","127.022115"
"F00036","엄윤용얼큰한뼈해장국","음식점","ST001","충청남도 아산시 둔포면 아산호로 1103","36.927109","127.021628"
"F00037","한성공업식당","음식점","ST001","충청남도 아산시 둔포면 해위길 120","36.899031","127.023090"
"F00038","제이푸드","음식점","ST001","충청남도 아산시 둔포면 윤보선로336번길 71-27","36.903834","127.022261"
"F00039","세븐일레븐아산신영모닝빌점","편의점","ST001","충청남도 아산시 둔포면 윤보선로450번길 3","36.909709","127.021691"
"F00040","연못분식","음식점","ST001","충청남도 아산시 둔포면 해위안길 67-4","36.895652","127.024660"
"F00041","세븐일레븐아산둔포신항점","편의점","ST001","충청남도 아산시 둔포면 해위안길 79","36.895742","127.025288"
"F00042","지중해푸드","카페","ST001","충청남도 아산시 둔포면 충무로 1222-3","36.881899","127.031576"
"F00043","한솔푸드","음식점","ST001","충청남도 아산시 둔포면 윤보선로 523","36.915990","127.022534"
"F00044","정원푸드유한구내식당","음식점","ST001","충청남도 아산시 둔포면 윤보선로 520","36.915395","127.023084"
"F00045","김밥왕","음식점","ST001","충청남도 아산시 둔포면 윤보선로336번길 96","36.901401","127.024695"
"F00046","유주네국수집","음식점","ST001","충청남도 아산시 둔포면 윤보선로336번길 96","36.901401","127.024695"
"F00047","세븐일레븐아산신항점","편의점","ST001","충청남도 아산시 둔포면 윤보선로336번길 96","36.901401","127.024695"
"F00048","자매백반집","음식점","ST001","충청남도 아산시 둔포면 아산호로 1136","36.926550","127.024961"
"F00049","다가온","음식점","ST001","충청남도 아산시 둔포면 봉신로 96-22","36.880186","127.036130"
"F00050","사계의들녘","음식점","ST001","충청남도 아산시 둔포면 해위길 166","36.901968","127.027231"
"F00051","놀부부대찌개아산퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00052","떡담","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00053","맘스터치퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00054","북촌손만두아산퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00055","브라운돈까스아산퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00056","신존떡볶이퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00057","쌍팔반점","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00058","이태리면가게","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00059","좋은음식차반","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00060","한옥마을전주비빔퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00061","호미탐아산","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00062","히노아지둔포퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00063","차이카페퍼스트","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00064","퍼스트빌리지카페","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00065","헤븐","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00066","입장커피&빵","카페","ST001","충청남도 천안시 서북구 입장면 성진로 874","36.915144","127.227380"
"F00067","일미식당","음식점","ST001","충청남도 아산시 둔포면 봉신로 104-3","36.880789","127.039259"
"F00068","김할매소머리곰탕","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 254","36.923727","127.224645"
"F00069","아지트","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 26","36.914643","127.225022"
"F00070","만리장성","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 852","36.915383","127.224890"
"F00071","오감탕","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 846","36.915275","127.224530"
"F00072","통영바다장어구이","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 7","36.914898","127.224069"
"F00073","유리떡방앗간","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 842","36.915321","127.224014"
"F00074","성지가든","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 233-4","36.921981","127.223585"
"F00075","입장놀이터","PC방","ST001","충청남도 천안시 서북구 입장면 입장시장1길 25","36.914303","127.223877"
