route_no,seq,stop_id,direction
285000002,1,285071398,백석농공단지 방면
285000002,2,285000989,백석농공단지 방면
285000010,1,285000640,천안아산역 방면
285000010,2,285002022,천안아산역 방면
285000011,1,285002022,단대병원 방면
285000011,2,285001715,단대병원 방면
285000014,1,285002022,직산대림아파트 방면
285000015,1,285000960,천안아산역 방면
285000015,2,285002022,천안아산역 방면
285000016,1,285000640,천안아산역 방면
285000016,2,285002022,천안아산역 방면
285000017,1,285002022,단대병원 방면
285000017,2,285001715,단대병원 방면
285000018,1,285000989,천안시종합사회복지관 방면
285000018,2,285071663,천안시종합사회복지관 방면
285000019,1,285071663,백석농공단지 방면
285000019,2,285071484,백석농공단지 방면
285000022,1,288001091,종합터미널 방면
285000022,2,285010014,종합터미널 방면
285000023,1,285010014,태헌장미아파트 방면
285000023,2,288001094,태헌장미아파트 방면
285000051,1,285002247,업성고교 방면
285000051,2,285002083,업성고교 방면
285000052,1,285002062,신방도서관.푸르지오 방면
285000052,2,285002246,신방도서관.푸르지오 방면
285000054,1,285071675,남서울대 주차장 방면
285000054,2,285000545,남서울대 주차장 방면
285000055,1,285000545,신부경남아파트 방면
285000055,2,285000688,신부경남아파트 방면
285000204,1,285000686,휴대2리 방면
285000204,2,285001413,휴대2리 방면
285000205,1,285001413,종합터미널 방면
285000205,2,285010125,종합터미널 방면
285000234,1,285000989,월랑1리 방면
285000234,2,288001102,월랑1리 방면
285000235,1,288001101,백석농공단지 방면
285000235,2,285071484,백석농공단지 방면
285000236,1,285000989,산동1리(종점) 방면
285000236,2,285010151,산동1리(종점) 방면
285000237,1,285010152,백석농공단지 방면
285000237,2,285071484,백석농공단지 방면
285000238,1,285000989,동산2리 방면
285000238,2,285001575,동산2리 방면
285000239,1,285001745,백석농공단지 방면
285000239,2,285071484,백석농공단지 방면
285000240,1,285000989,매곡3리 방면
285000240,2,288002009,매곡3리 방면
285000241,1,288002008,백석농공단지 방면
285000241,2,285071484,백석농공단지 방면
285000242,1,285000687,선문대학교 방면
285000242,2,285001693,선문대학교 방면
285000243,1,288000131,종합터미널 방면
285000243,2,285010125,종합터미널 방면
285000282,1,285000686,종합터미널 방면
285000282,2,285000685,종합터미널 방면
285000310,1,285000687,천안아산 방면
285000310,2,285002022,천안아산 방면
285000311,1,285002022,종합터미널 방면
285000311,2,285010125,종합터미널 방면
285000325,1,285000686,차암2통 방면
285000325,2,285001004,차암2통 방면
285000326,1,285010148,종합터미널 방면
285000326,2,285010125,종합터미널 방면
285000355,1,288000762,천안종합터미널 방면
285000355,2,285000685,천안종합터미널 방면
285000356,1,285000687,고속버스터미널(시티노래방앞) 방면
